"timestamp","nbPassengers","age","passengerType","bookingStatus","operatingAirline","originAirport","destinationAirport","departureDate","arrivalDate"
"2019-03-17T13:47:26.005Z","WrappedArray(1, 1, 1, 1)","WrappedArray(18)","WrappedArray(ADT)","WrappedArray(CONFIRMED, CONFIRMED, CONFIRMED, CONFIRMED)","WrappedArray(AF, AF, AF, AF)","WrappedArray(ORY, ORY, TLS, RUN)","WrappedArray(RUN, TLS, ORY, ORY)","WrappedArray(2019-05-02T17:50:00Z, 2019-07-17T20:50:00Z, 2019-05-02T14:50:00Z, 2019-07-17T09:05:00Z)","WrappedArray(2019-05-03T06:50:00Z, 2019-07-17T22:05:00Z, 2019-05-02T16:10:00Z, 2019-07-17T18:15:00Z)"
"2019-03-17T13:47:25.974Z","WrappedArray(8, 8)","WrappedArray(null, null, null, null, null, null, null, null)","WrappedArray(ADT, ADT, ADT, ADT, ADT, ADT, ADT, ADT)","WrappedArray(CONFIRMED, CONFIRMED)","WrappedArray(AF, AF)","WrappedArray(BUD, CDG)","WrappedArray(CDG, BUD)","WrappedArray(2019-03-17T16:25:00Z, 2019-03-14T20:55:00Z)","WrappedArray(2019-03-17T18:45:00Z, 2019-03-14T23:05:00Z)"
"2019-03-17T13:47:26.108Z","WrappedArray(1, 1)","WrappedArray(null)","WrappedArray(ADT)","WrappedArray(CONFIRMED, CONFIRMED)","WrappedArray(AF, AF)","WrappedArray(ORY, PGF)","WrappedArray(PGF, ORY)","WrappedArray(2019-03-23T09:10:00Z, 2019-03-24T13:50:00Z)","WrappedArray(2019-03-23T10:30:00Z, 2019-03-24T15:20:00Z)"
"2019-03-17T13:47:26.181Z","WrappedArray(4, 4, 4, 4)","WrappedArray(42, 11, 8, 42)","WrappedArray(ADT, CHD, CHD, ADT)","WrappedArray(CONFIRMED, CONFIRMED, CONFIRMED, CONFIRMED)","WrappedArray(AF, AF, AF, AF)","WrappedArray(ORY, ORY, BOD, BIA)","WrappedArray(BIA, BOD, ORY, ORY)","WrappedArray(2019-04-17T11:10:00Z, 2019-04-24T16:50:00Z, 2019-04-17T08:55:00Z, 2019-04-24T13:45:00Z)","WrappedArray(2019-04-17T12:55:00Z, 2019-04-24T18:00:00Z, 2019-04-17T10:10:00Z, 2019-04-24T15:30:00Z)"
"2019-03-17T13:47:26.475Z","WrappedArray(1, 1)","WrappedArray(null)","WrappedArray(ADT)","WrappedArray(CONFIRMED, CONFIRMED)","WrappedArray(A5, A5)","WrappedArray(RNS, MRS)","WrappedArray(MRS, RNS)","WrappedArray(2019-04-02T18:45:00Z, 2019-03-28T08:35:00Z)","WrappedArray(2019-04-02T20:15:00Z, 2019-03-28T10:10:00Z)"
"2019-03-17T13:47:25.818Z","WrappedArray(20, 20, 20, 20)","WrappedArray(16, 17, 17, 17, 17, 17, 16, 16, 16, 16, 16, 17, 16, 17, 16, 16, 16, 16, 17, 17)","WrappedArray(ADT, ADT, ADT, ADT, ADT, ADT, ADT, ADT, ADT, ADT, ADT, ADT, ADT, ADT, ADT, ADT, ADT, ADT, ADT, ADT)","WrappedArray(CONFIRMED, CONFIRMED, CONFIRMED, CONFIRMED)","WrappedArray(KL, KL, KL, KL)","WrappedArray(GLA, AMS, AMS, LIS)","WrappedArray(AMS, GLA, LIS, AMS)","WrappedArray(2019-03-27T09:00:00Z, 2019-03-17T21:25:00Z, 2019-03-27T12:40:00Z, 2019-03-17T15:25:00Z)","WrappedArray(2019-03-27T11:40:00Z, 2019-03-17T22:00:00Z, 2019-03-27T14:35:00Z, 2019-03-17T19:35:00Z)"
"2019-03-17T13:47:26.867Z","WrappedArray(2, 2, 2, 2, 2, 2)","WrappedArray(57, 53)","WrappedArray(ADT, ADT)","WrappedArray(CONFIRMED, CONFIRMED, CONFIRMED, CONFIRMED, CONFIRMED, CONFIRMED)","WrappedArray(EY, QF, AF, AF, AF, EY)","WrappedArray(MEL, SIN, BOD, CDG, CDG, AUH)","WrappedArray(AUH, MEL, CDG, BOD, SIN, CDG)","WrappedArray(2019-04-02T16:55:00Z, 2019-03-18T19:40:00Z, 2019-03-17T18:20:00Z, 2019-04-03T09:40:00Z, 2019-03-17T20:50:00Z, 2019-04-03T02:15:00Z)","WrappedArray(2019-04-03T00:05:00Z, 2019-03-19T06:00:00Z, 2019-03-17T19:45:00Z, 2019-04-03T10:55:00Z, 2019-03-18T16:35:00Z, 2019-04-03T07:40:00Z)"
"2019-03-17T13:47:27.018Z","WrappedArray(1)","WrappedArray(39)","WrappedArray(ADT)","WrappedArray(CONFIRMED)","WrappedArray(AF)","WrappedArray(LHR)","WrappedArray(CDG)","WrappedArray(2019-03-18T15:35:00Z)","WrappedArray(2019-03-18T17:55:00Z)"
"2019-03-17T13:47:27.413Z","WrappedArray(2, 2)","WrappedArray(null, null)","WrappedArray(ADT, ADT)","WrappedArray(CONFIRMED, CONFIRMED)","WrappedArray(KL, KL)","WrappedArray(BUD, AMS)","WrappedArray(AMS, BUD)","WrappedArray(2019-08-06T11:30:00Z, 2019-08-01T08:50:00Z)","WrappedArray(2019-08-06T13:40:00Z, 2019-08-01T10:45:00Z)"
"2019-03-17T13:47:27.605Z","WrappedArray(2, 2, 2, 2)","WrappedArray(45, 14)","WrappedArray(ADT, ADT)","WrappedArray(CONFIRMED, CONFIRMED, CONFIRMED, CONFIRMED)","WrappedArray(KL, 9W, KL, 9W)","WrappedArray(GLA, AMS, AMS, DEL)","WrappedArray(AMS, DEL, GLA, AMS)","WrappedArray(2019-06-18T06:05:00Z, 2019-06-18T11:40:00Z, 2019-08-13T15:35:00Z, 2019-08-13T02:10:00Z)","WrappedArray(2019-06-18T08:45:00Z, 2019-06-18T23:25:00Z, 2019-08-13T16:05:00Z, 2019-08-13T07:40:00Z)"
