"nbPassengers0","nbPassengers1","bookingStatus0","bookingStatus1","operatingAirline0","operatingAirline1","originAirport0","originAirport1","departureDate0","departureDate1","arrivalDate0","arrivalDate1","destinationAirport0","destinationAirport1"
1,1,"CONFIRMED","CONFIRMED","AF","AF","ORY","ORY","2019-05-02T17:50:00Z","2019-07-17T20:50:00Z","2019-05-03T06:50:00Z","2019-07-17T22:05:00Z","RUN","TLS"
8,8,"CONFIRMED","CONFIRMED","AF","AF","BUD","CDG","2019-03-17T16:25:00Z","2019-03-14T20:55:00Z","2019-03-17T18:45:00Z","2019-03-14T23:05:00Z","CDG","BUD"
1,1,"CONFIRMED","CONFIRMED","AF","AF","ORY","PGF","2019-03-23T09:10:00Z","2019-03-24T13:50:00Z","2019-03-23T10:30:00Z","2019-03-24T15:20:00Z","PGF","ORY"
4,4,"CONFIRMED","CONFIRMED","AF","AF","ORY","ORY","2019-04-17T11:10:00Z","2019-04-24T16:50:00Z","2019-04-17T12:55:00Z","2019-04-24T18:00:00Z","BIA","BOD"
1,1,"CONFIRMED","CONFIRMED","A5","A5","RNS","MRS","2019-04-02T18:45:00Z","2019-03-28T08:35:00Z","2019-04-02T20:15:00Z","2019-03-28T10:10:00Z","MRS","RNS"
20,20,"CONFIRMED","CONFIRMED","KL","KL","GLA","AMS","2019-03-27T09:00:00Z","2019-03-17T21:25:00Z","2019-03-27T11:40:00Z","2019-03-17T22:00:00Z","AMS","GLA"
2,2,"CONFIRMED","CONFIRMED","EY","QF","MEL","SIN","2019-04-02T16:55:00Z","2019-03-18T19:40:00Z","2019-04-03T00:05:00Z","2019-03-19T06:00:00Z","AUH","MEL"
1,"","CONFIRMED","","AF","","LHR","","2019-03-18T15:35:00Z","","2019-03-18T17:55:00Z","","CDG",""
2,2,"CONFIRMED","CONFIRMED","KL","KL","BUD","AMS","2019-08-06T11:30:00Z","2019-08-01T08:50:00Z","2019-08-06T13:40:00Z","2019-08-01T10:45:00Z","AMS","BUD"
2,2,"CONFIRMED","CONFIRMED","KL","9W","GLA","AMS","2019-06-18T06:05:00Z","2019-06-18T11:40:00Z","2019-06-18T08:45:00Z","2019-06-18T23:25:00Z","AMS","DEL"
1,1,"CONFIRMED","CONFIRMED","WS","KL","YYC","AMS","2019-07-30T15:00:00Z","2019-07-30T12:25:00Z","2019-07-30T15:12:00Z","2019-07-30T13:25:00Z","YLW","YYC"
8,8,"CONFIRMED","CONFIRMED","BA","AF","CPT","JNB","2019-03-10T17:30:00Z","2019-03-17T19:50:00Z","2019-03-10T19:30:00Z","2019-03-18T05:45:00Z","DUR","CDG"
1,1,"CONFIRMED","CONFIRMED","AF","AF","ORY","NCE","2019-08-26T11:30:00Z","2019-08-22T10:40:00Z","2019-08-26T12:55:00Z","2019-08-22T12:05:00Z","NCE","ORY"
