"nbPassengers","operatingAirline","bookingStatus","originAirport","destinationAirport","departureDate","arrivalDate"
1,"af","confirmed","ory","run","2019-05-02T17:50:00Z","2019-05-03T06:50:00Z"
1,"af","confirmed","ory","tls","2019-07-17T20:50:00Z","2019-07-17T22:05:00Z"
8,"af","confirmed","bud","cdg","2019-03-17T16:25:00Z","2019-03-17T18:45:00Z"
8,"af","confirmed","cdg","bud","2019-03-14T20:55:00Z","2019-03-14T23:05:00Z"
1,"af","confirmed","ory","pgf","2019-03-23T09:10:00Z","2019-03-23T10:30:00Z"
1,"af","confirmed","pgf","ory","2019-03-24T13:50:00Z","2019-03-24T15:20:00Z"
4,"af","confirmed","ory","bia","2019-04-17T11:10:00Z","2019-04-17T12:55:00Z"
4,"af","confirmed","ory","bod","2019-04-24T16:50:00Z","2019-04-24T18:00:00Z"
1,"a5","confirmed","rns","mrs","2019-04-02T18:45:00Z","2019-04-02T20:15:00Z"
1,"a5","confirmed","mrs","rns","2019-03-28T08:35:00Z","2019-03-28T10:10:00Z"
20,"kl","confirmed","gla","ams","2019-03-27T09:00:00Z","2019-03-27T11:40:00Z"
20,"kl","confirmed","ams","gla","2019-03-17T21:25:00Z","2019-03-17T22:00:00Z"
2,"ey","confirmed","mel","auh","2019-04-02T16:55:00Z","2019-04-03T00:05:00Z"
2,"qf","confirmed","sin","mel","2019-03-18T19:40:00Z","2019-03-19T06:00:00Z"
1,"af","confirmed","lhr","cdg","2019-03-18T15:35:00Z","2019-03-18T17:55:00Z"
"","","","","","",""
2,"kl","confirmed","bud","ams","2019-08-06T11:30:00Z","2019-08-06T13:40:00Z"
2,"kl","confirmed","ams","bud","2019-08-01T08:50:00Z","2019-08-01T10:45:00Z"
2,"kl","confirmed","gla","ams","2019-06-18T06:05:00Z","2019-06-18T08:45:00Z"
2,"9w","confirmed","ams","del","2019-06-18T11:40:00Z","2019-06-18T23:25:00Z"
1,"ws","confirmed","yyc","ylw","2019-07-30T15:00:00Z","2019-07-30T15:12:00Z"
1,"kl","confirmed","ams","yyc","2019-07-30T12:25:00Z","2019-07-30T13:25:00Z"
8,"ba","confirmed","cpt","dur","2019-03-10T17:30:00Z","2019-03-10T19:30:00Z"
8,"af","confirmed","jnb","cdg","2019-03-17T19:50:00Z","2019-03-18T05:45:00Z"
1,"af","confirmed","ory","nce","2019-08-26T11:30:00Z","2019-08-26T12:55:00Z"
1,"af","confirmed","nce","ory","2019-08-22T10:40:00Z","2019-08-22T12:05:00Z"
1,"a5","confirmed","tls","sxb","2019-05-19T20:30:00Z","2019-05-19T22:00:00Z"
"","","","","","",""
2,"dl","confirmed","jfk","mco","2019-03-26T19:29:00Z","2019-03-26T22:29:00Z"
2,"kl","confirmed","ams","jfk","2019-03-26T13:30:00Z","2019-03-26T16:45:00Z"
2,"os","confirmed","vie","cdg","2019-06-02T12:50:00Z","2019-06-02T14:50:00Z"
2,"os","confirmed","cdg","vie","2019-05-29T10:00:00Z","2019-05-29T12:00:00Z"
4,"af","confirmed","cdg","ncl","2019-07-29T15:35:00Z","2019-07-29T16:20:00Z"
4,"af","confirmed","ncl","cdg","2019-07-22T06:00:00Z","2019-07-22T08:55:00Z"
1,"af","confirmed","cdg","pvg","2019-03-20T23:25:00Z","2019-03-21T17:45:00Z"
1,"af","confirmed","haj","cdg","2019-03-20T20:15:00Z","2019-03-20T21:55:00Z"
1,"cz","confirmed","pek","ams","2019-03-18T00:30:00Z","2019-03-18T04:40:00Z"
1,"kl","confirmed","ams","lim","2019-03-18T12:35:00Z","2019-03-18T19:15:00Z"
1,"af","confirmed","cdg","dub","2019-03-15T09:50:00Z","2019-03-15T10:50:00Z"
1,"af","confirmed","dub","cdg","2019-03-18T17:00:00Z","2019-03-18T20:00:00Z"
1,"af","confirmed","lhr","cdg","2019-03-18T15:35:00Z","2019-03-18T17:55:00Z"
1,"af","confirmed","cdg","lhr","2019-03-17T18:05:00Z","2019-03-17T18:20:00Z"
1,"af","confirmed","cdg","mia","2019-03-18T10:10:00Z","2019-03-18T15:10:00Z"
1,"af","confirmed","mia","cdg","2019-06-13T19:40:00Z","2019-06-14T10:40:00Z"
1,"kl","confirmed","gla","ams","2019-06-28T10:45:00Z","2019-06-28T13:20:00Z"
1,"kl","confirmed","ams","gla","2019-07-01T09:30:00Z","2019-07-01T10:00:00Z"
4,"af","confirmed","ncl","cdg","2019-07-22T06:00:00Z","2019-07-22T08:55:00Z"
4,"af","confirmed","cdg","ncl","2019-07-29T15:35:00Z","2019-07-29T16:20:00Z"
3,"dl","confirmed","ams","mco","2019-04-20T14:45:00Z","2019-04-20T19:11:00Z"
3,"dl","confirmed","mco","ams","2019-05-03T21:32:00Z","2019-05-04T12:45:00Z"
3,"af","confirmed","jfk","cdg","2019-08-25T23:55:00Z","2019-08-26T13:10:00Z"
3,"af","confirmed","cdg","bos","2019-08-01T14:05:00Z","2019-08-01T15:55:00Z"
2,"kl","confirmed","svg","ams","2019-03-18T17:20:00Z","2019-03-18T18:55:00Z"
2,"kl","confirmed","svo","ams","2019-03-27T05:30:00Z","2019-03-27T07:10:00Z"
2,"cz","confirmed","cdg","can","2019-02-17T11:45:00Z","2019-02-18T06:20:00Z"
2,"af","confirmed","pek","cdg","2019-03-18T01:00:00Z","2019-03-18T05:15:00Z"
1,"af","confirmed","nce","cdg","2019-07-30T19:05:00Z","2019-07-30T20:40:00Z"
"","","","","","",""
3,"oz","confirmed","icn","syd","2019-03-31T20:00:00Z","2019-04-01T08:30:00Z"
3,"kl","confirmed","mad","ams","2019-04-12T12:50:00Z","2019-04-12T15:25:00Z"
1,"af","confirmed","nce","ory","2019-08-22T10:40:00Z","2019-08-22T12:05:00Z"
1,"af","confirmed","ory","nce","2019-08-26T11:30:00Z","2019-08-26T12:55:00Z"
2,"kl","confirmed","ams","man","2020-02-06T09:35:00Z","2020-02-06T09:55:00Z"
2,"ey","confirmed","cdg","auh","2020-01-15T20:45:00Z","2020-01-16T06:30:00Z"
1,"kl","confirmed","ams","bru","2019-03-29T16:50:00Z","2019-03-29T17:30:00Z"
1,"cz","confirmed","ams","pek","2019-03-18T14:10:00Z","2019-03-19T06:55:00Z"
1,"af","confirmed","beg","cdg","2019-06-16T15:25:00Z","2019-06-16T17:55:00Z"
1,"af","confirmed","cdg","beg","2019-06-13T12:20:00Z","2019-06-13T14:35:00Z"
1,"af","confirmed","cdg","mia","2019-06-25T13:40:00Z","2019-06-25T17:10:00Z"
1,"dl","confirmed","atl","ams","2019-09-02T17:27:00Z","2019-09-03T08:05:00Z"
1,"kl","confirmed","lhr","ams","2019-03-14T14:05:00Z","2019-03-14T16:20:00Z"
1,"kl","confirmed","ams","lhr","2019-03-18T15:45:00Z","2019-03-18T16:05:00Z"
1,"af","confirmed","cdg","mrs","2019-07-13T09:50:00Z","2019-07-13T11:10:00Z"
"","","","","","",""
1,"kl","confirmed","ams","lhr","2019-03-20T07:20:00Z","2019-03-20T07:40:00Z"
1,"kl","confirmed","ams","los","2019-03-26T13:25:00Z","2019-03-26T20:05:00Z"
2,"af","confirmed","pgf","ory","2019-04-25T13:50:00Z","2019-04-25T15:20:00Z"
2,"af","confirmed","ory","pgf","2019-04-20T17:15:00Z","2019-04-20T18:35:00Z"
1,"kl","confirmed","ams","kbp","2019-03-21T09:25:00Z","2019-03-21T13:10:00Z"
1,"af","confirmed","cdg","yyz","2019-06-26T13:50:00Z","2019-06-26T16:10:00Z"
1,"af","confirmed","cdg","lys","2019-03-18T16:50:00Z","2019-03-18T17:55:00Z"
1,"sn","confirmed","bru","waw","2019-03-19T21:00:00Z","2019-03-19T23:00:00Z"
2,"kl","confirmed","ams","atl","2019-03-29T16:50:00Z","2019-03-29T21:25:00Z"
2,"kl","confirmed","atl","ams","2019-03-17T23:25:00Z","2019-03-18T12:25:00Z"
8,"a5","confirmed","lys","tls","2019-03-17T20:25:00Z","2019-03-17T21:25:00Z"
8,"a5","confirmed","fco","lys","2019-03-17T17:55:00Z","2019-03-17T19:30:00Z"
2,"kl","confirmed","bud","ams","2019-07-14T11:30:00Z","2019-07-14T13:40:00Z"
2,"kl","confirmed","ams","prg","2019-07-04T12:05:00Z","2019-07-04T13:35:00Z"
1,"kl","confirmed","eze","scl","2019-03-11T08:55:00Z","2019-03-11T11:05:00Z"
1,"kl","confirmed","scl","eze","2019-03-18T12:45:00Z","2019-03-18T14:35:00Z"
3,"af","confirmed","cdg","bcn","2019-04-20T21:05:00Z","2019-04-20T22:55:00Z"
3,"af","confirmed","bcn","cdg","2019-04-26T20:25:00Z","2019-04-26T22:20:00Z"
3,"kq","confirmed","fna","nbo","2019-03-17T17:10:00Z","2019-03-18T05:35:00Z"
3,"kq","confirmed","nbo","bom","2019-03-18T07:00:00Z","2019-03-18T15:45:00Z"
1,"kl","confirmed","eze","scl","2019-03-11T08:55:00Z","2019-03-11T11:05:00Z"
1,"kl","confirmed","scl","eze","2019-03-18T12:45:00Z","2019-03-18T14:35:00Z"
2,"kl","confirmed","tls","ams","2019-03-19T13:30:00Z","2019-03-19T15:30:00Z"
2,"kl","confirmed","osl","ams","2019-03-25T17:00:00Z","2019-03-25T18:55:00Z"
1,"af","confirmed","ptp","ory","2019-03-21T18:00:00Z","2019-03-22T07:00:00Z"
1,"af","confirmed","ory","ptp","2019-03-28T11:45:00Z","2019-03-28T15:25:00Z"
1,"kl","confirmed","pek","ams","2019-03-29T11:55:00Z","2019-03-29T15:30:00Z"
1,"cz","confirmed","ams","pek","2019-03-18T14:10:00Z","2019-03-19T06:55:00Z"
2,"af","confirmed","ptp","ory","2019-05-10T17:15:00Z","2019-05-11T07:15:00Z"
2,"af","confirmed","lrh","ory","2019-04-27T08:30:00Z","2019-04-27T09:55:00Z"
1,"kl","confirmed","sfo","ams","2019-07-10T16:30:00Z","2019-07-11T11:50:00Z"
1,"kl","confirmed","ams","sfo","2019-07-06T09:50:00Z","2019-07-06T11:45:00Z"
2,"af","confirmed","cdg","nce","2019-03-17T15:20:00Z","2019-03-17T16:50:00Z"
"","","","","","",""
1,"af","seat_available","txl","cdg","2019-03-17T18:05:00Z","2019-03-17T19:55:00Z"
"","","","","","",""
1,"kl","confirmed","ams","muc","2019-05-30T07:15:00Z","2019-05-30T08:40:00Z"
1,"kl","confirmed","muc","ams","2019-06-02T11:50:00Z","2019-06-02T13:25:00Z"
2,"kl","confirmed","los","ams","2019-04-02T21:45:00Z","2019-04-03T05:45:00Z"
2,"dl","confirmed","iah","los","2019-03-17T19:56:00Z","2019-03-18T15:35:00Z"
1,"af","confirmed","cdg","mia","2019-06-25T13:40:00Z","2019-06-25T17:10:00Z"
1,"dl","confirmed","atl","ams","2019-09-02T17:27:00Z","2019-09-03T08:05:00Z"
1,"kl","confirmed","ams","atl","2019-03-29T09:35:00Z","2019-03-29T14:15:00Z"
1,"kl","confirmed","vie","ams","2019-03-17T12:15:00Z","2019-03-17T14:10:00Z"
2,"kl","unaccepted","ams","dxb","2019-03-17T14:35:00Z","2019-03-18T00:05:00Z"
2,"kl","confirmed","ams","dxb","2019-03-17T17:10:00Z","2019-03-18T02:55:00Z"
1,"af","confirmed","bia","ory","2019-06-02T13:05:00Z","2019-06-02T14:45:00Z"
1,"xk","confirmed","ory","bia","2019-06-07T21:25:00Z","2019-06-07T23:00:00Z"
2,"dl","confirmed","msp","dfw","2019-09-14T14:30:00Z","2019-09-14T17:10:00Z"
2,"lh","confirmed","dfw","fra","2019-08-09T16:00:00Z","2019-08-10T08:50:00Z"
1,"af","seat_available","fco","cdg","2019-03-18T13:05:00Z","2019-03-18T15:20:00Z"
"","","","","","",""
1,"kq","confirmed","nbo","mba","2019-03-25T10:00:00Z","2019-03-25T11:00:00Z"
"","","","","","",""
2,"af","confirmed","pgf","ory","2019-04-25T13:50:00Z","2019-04-25T15:20:00Z"
2,"af","confirmed","ory","pgf","2019-04-20T17:15:00Z","2019-04-20T18:35:00Z"
2,"kl","confirmed","eze","ams","2019-04-08T15:35:00Z","2019-04-09T09:55:00Z"
2,"kl","confirmed","ams","eze","2019-03-27T20:55:00Z","2019-03-28T06:45:00Z"
1,"cz","confirmed","ams","pek","2019-03-18T14:10:00Z","2019-03-19T06:55:00Z"
1,"kl","unaccepted","ams","pek","2019-03-17T17:30:00Z","2019-03-18T09:55:00Z"
3,"af","confirmed","tls","ory","2019-05-10T10:20:00Z","2019-05-10T11:40:00Z"
3,"af","confirmed","ory","tls","2019-05-12T17:45:00Z","2019-05-12T19:00:00Z"
5,"kl","confirmed","dps","ams","2019-10-07T20:35:00Z","2019-10-08T07:35:00Z"
5,"kl","confirmed","ams","dps","2019-09-23T21:00:00Z","2019-09-24T19:25:00Z"
2,"af","confirmed","ory","bes","2019-11-07T13:00:00Z","2019-11-07T14:10:00Z"
2,"af","confirmed","fdf","ory","2019-11-06T19:10:00Z","2019-11-07T08:25:00Z"
2,"af","confirmed","cdg","lys","2019-04-26T14:05:00Z","2019-04-26T15:15:00Z"
2,"af","confirmed","scl","cdg","2019-04-25T15:55:00Z","2019-04-26T10:50:00Z"
2,"af","confirmed","bcn","cdg","2019-03-17T19:30:00Z","2019-03-17T21:30:00Z"
2,"af","confirmed","cdg","hnd","2019-03-17T23:20:00Z","2019-03-18T19:25:00Z"
1,"kl","confirmed","gva","ams","2019-03-20T17:30:00Z","2019-03-20T19:15:00Z"
1,"kl","confirmed","ams","man","2019-03-20T21:45:00Z","2019-03-20T22:00:00Z"
1,"a5","confirmed","uro","bia","2019-05-25T12:20:00Z","2019-05-25T14:10:00Z"
1,"a5","confirmed","bia","uro","2019-06-01T14:50:00Z","2019-06-01T16:40:00Z"
2,"af","confirmed","cdg","trn","2019-03-23T12:50:00Z","2019-03-23T14:30:00Z"
2,"g3","confirmed","vix","gru","2019-03-22T11:00:00Z","2019-03-22T12:35:00Z"
1,"af","confirmed","bud","cdg","2019-04-20T12:10:00Z","2019-04-20T14:30:00Z"
1,"af","confirmed","cdg","bud","2019-04-17T16:45:00Z","2019-04-17T18:55:00Z"
1,"af","seat_available","txl","cdg","2019-03-17T18:05:00Z","2019-03-17T19:55:00Z"
"","","","","","",""
1,"kl","confirmed","vie","ams","2019-04-13T19:55:00Z","2019-04-13T21:45:00Z"
1,"kl","confirmed","ams","vie","2019-04-10T06:50:00Z","2019-04-10T08:40:00Z"
1,"kl","confirmed","txl","ams","2019-07-29T12:15:00Z","2019-07-29T13:35:00Z"
1,"kl","confirmed","ams","txl","2019-07-23T20:45:00Z","2019-07-23T22:00:00Z"
2,"kl","confirmed","lhr","ams","2019-06-15T08:40:00Z","2019-06-15T11:00:00Z"
"","","","","","",""
1,"kl","confirmed","kul","ams","2019-03-17T23:50:00Z","2019-03-18T05:55:00Z"
1,"kl","confirmed","ams","mrs","2019-03-18T09:30:00Z","2019-03-18T11:35:00Z"
1,"a5","confirmed","mrs","cfr","2019-03-21T10:05:00Z","2019-03-21T11:40:00Z"
"","","","","","",""
1,"af","confirmed","cdg","lis","2019-05-17T16:10:00Z","2019-05-17T17:45:00Z"
1,"af","confirmed","lis","cdg","2019-05-19T18:40:00Z","2019-05-19T22:10:00Z"
1,"dl","confirmed","jnb","atl","2019-03-16T20:25:00Z","2019-03-17T07:15:00Z"
1,"dl","confirmed","mco","lga","2019-03-23T10:50:00Z","2019-03-23T13:24:00Z"
